,electricity
543,0.8565106746426144
544,0.9128904985805368
545,0.9549546515938234
546,0.9782126837421151
547,0.983198365206185
548,0.980556036176321
549,0.976885736201481
550,0.9763874463696015
551,0.9765023180916057
552,0.9791995141103681
553,0.9816724767331679
554,0.9826534728929238
555,0.9828896256353253
556,0.9823664172508901
557,0.9809510520259018
558,0.9778679967733107
559,0.9733690480697857
560,0.9675577343550019
561,0.9601933239575959
562,0.9572755752534894
563,0.9557032076679551
564,0.951500516301277
565,0.9500272041813079
566,0.9493713350103363
567,0.9506751652547857
568,0.9523648925907722
569,0.9505139128028455
570,0.9443736548920468
571,0.9310076959396003
572,0.9164107384419469
573,0.9039310544449357
574,0.8970258834416946
575,0.8988021834405912
576,0.9058450876685484
577,0.9130509762768002
578,0.9210993616460743
579,0.9286476188553715
580,0.932447694637515
581,0.9331577167067162
582,0.9283852485367963
583,0.9220337064211163
584,0.9213032966164775
585,0.9222758736527115
586,0.9293184305781745
587,0.9397413382738492
588,0.9495086297880296
589,0.9513682744604776
590,0.9461750255803544
591,0.940573897710018
592,0.9388983296085022
593,0.9365085496195953
594,0.9158513931354559
595,0.8659311318699627
596,0.7848022490195855
597,0.6990708280195789
598,0.6418829039168675
599,0.6204511887191237
600,0.597707302159977
601,0.5489229657889412
602,0.4761058008237175
603,0.3837883931558935
604,0.28138448971046354
605,0.16071901180419002
606,0.05968811149660405
607,0.02372247662539117
608,0.014485171489700615
609,0.015583822677715273
610,0.026548788301447725
611,0.044939876300722784
612,0.06529980081540376
613,0.08754155952325528
614,0.10804016285758959
615,0.12514357576152582
616,0.13003938675989238
617,0.12528813020370527
618,0.11131533597890687
619,0.084994718948893
620,0.05504028267650982
621,0.03340103222209183
622,0.02180235925950168
623,0.014503988941142002
624,0.010023745303296418
625,0.016346021515031152
626,0.04257281135854774
627,0.10128072117064599
628,0.21597454382653633
629,0.3574694347776231
630,0.49282971315404805
631,0.6352301771496148
632,0.7522718844936379
633,0.832474580479625
634,0.8805538913586798
635,0.909760609665847
636,0.9224771835561231
637,0.901295675454675
638,0.8440679580639185
639,0.730224524379918
640,0.584932466573013
641,0.5158341252073673
642,0.5213485307585076
643,0.6025125392874012
644,0.6468396146768314
645,0.6030043431853042
646,0.5008039881403068
647,0.37734397075464415
648,0.2509568606468064
649,0.16961338519373428
650,0.1413210288867343
651,0.1488778138653783
652,0.16323293209267556
653,0.17177049010516823
654,0.20391992473847587
655,0.27157652000017135
656,0.3554029156443264
657,0.4384051950392811
658,0.5258319996474354
659,0.633917657016818
660,0.7351298445025937
661,0.8004663140093581
662,0.8427150457275545
663,0.8622257680120756
664,0.8720750812543491
665,0.8815312286579466
666,0.8617732341698785
667,0.8079973400694931
668,0.7558689090555808
669,0.6859443863984195
670,0.5835613580905736
671,0.48999939816719196
672,0.43432266928629343
673,0.3936334825736305
674,0.34609156021724113
675,0.3654052096890852
676,0.39851640312903924
677,0.39113509775103883
678,0.39350847038457587
679,0.4119829819912454
680,0.3753671175657524
681,0.41514296193459704
682,0.5169888147243104
683,0.536187363173574
684,0.5105708449413313
685,0.48549638324089267
686,0.454655838100425
687,0.4424930339977186
688,0.47443401923287054
689,0.527112074821481
690,0.5956070679791754
691,0.6773015414482473
692,0.7599126113572832
693,0.8121756436328144
694,0.8441389210521698
695,0.8725009495807733
696,0.8942349081463423
697,0.9112608465418054
698,0.9211401850101338
699,0.9275172341337179
